pair,method,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
iq:ap,relation_pca_residual,Tx2,0.95,0.6189853363617297,100,9,91,0.09,0.2676642175787816,0.881261665686621
iq:ap,relation_pca_residual,Tx3,0.95,0.6189853363617297,100,8,92,0.08,0.19811094698059967,0.7522770739621256
iq:ap,relation_pca_residual,Tx4,0.95,0.6189853363617297,100,5,95,0.05,0.13717362350837306,0.5492489003215694
iq:ap,relation_pca_residual,Tx1,0.97,0.8432943855439698,100,6,94,0.06,0.2310867446824054,0.8817191884783
iq:ap,relation_pca_residual,Tx2,0.97,0.8432943855439698,100,6,94,0.06,0.2676642175787816,0.881261665686621
iq:ap,relation_pca_residual,Tx3,0.97,0.8432943855439698,100,4,96,0.04,0.19811094698059967,0.7522770739621256
iq:ap,relation_pca_residual,Tx4,0.97,0.8432943855439698,100,1,99,0.01,0.13717362350837306,0.5492489003215694
iq:ap,relation_shrinkage_mahalanobis,Tx1,0.9,68.72912858904172,100,11,89,0.11,33.88796487004217,178.08884117159437
iq:ap,relation_shrinkage_mahalanobis,Tx2,0.9,68.72912858904172,100,13,87,0.13,53.15111133689484,178.71798826239777
iq:ap,relation_shrinkage_mahalanobis,Tx3,0.9,68.72912858904172,100,16,84,0.16,34.23878702569692,162.93770218060195
iq:ap,relation_shrinkage_mahalanobis,Tx4,0.9,68.72912858904172,100,8,92,0.08,21.023014113114623,93.32841119851251
iq:ap,relation_shrinkage_mahalanobis,Tx1,0.95,117.09242606054273,100,7,93,0.07,33.88796487004217,178.08884117159437
iq:ap,relation_shrinkage_mahalanobis,Tx2,0.95,117.09242606054273,100,9,91,0.09,53.15111133689484,178.71798826239777
iq:ap,relation_shrinkage_mahalanobis,Tx3,0.95,117.09242606054273,100,9,91,0.09,34.23878702569692,162.93770218060195
iq:ap,relation_shrinkage_mahalanobis,Tx4,0.95,117.09242606054273,100,3,97,0.03,21.023014113114623,93.32841119851251
iq:ap,relation_shrinkage_mahalanobis,Tx1,0.97,180.3572696760587,100,5,95,0.05,33.88796487004217,178.08884117159437
iq:ap,relation_shrinkage_mahalanobis,Tx2,0.97,180.3572696760587,100,5,95,0.05,53.15111133689484,178.71798826239777
iq:ap,relation_shrinkage_mahalanobis,Tx3,0.97,180.3572696760587,100,5,95,0.05,34.23878702569692,162.93770218060195
iq:ap,relation_shrinkage_mahalanobis,Tx4,0.97,180.3572696760587,100,0,100,0.0,21.023014113114623,93.32841119851251
iq:fft,relation_zdist,Tx1,0.9,2.379679635335007,100,6,94,0.06,0.9514153689296576,2.4718163582568895
iq:fft,relation_zdist,Tx2,0.9,2.379679635335007,100,14,86,0.14,2.1163570719016156,5.395170495230318
iq:fft,relation_zdist,Tx3,0.9,2.379679635335007,100,13,87,0.13,1.1791645521196679,5.440284573132763
iq:fft,relation_zdist,Tx4,0.9,2.379679635335007,100,5,95,0.05,0.7277602242227756,2.2566103620047655
iq:fft,relation_zdist,Tx1,0.95,3.9178486152396,100,4,96,0.04,0.9514153689296576,2.4718163582568895
iq:fft,relation_zdist,Tx2,0.95,3.9178486152396,100,10,90,0.1,2.1163570719016156,5.395170495230318
iq:fft,relation_zdist,Tx3,0.95,3.9178486152396,100,7,93,0.07,1.1791645521196679,5.440284573132763
iq:fft,relation_zdist,Tx4,0.95,3.9178486152396,100,3,97,0.03,0.7277602242227756,2.2566103620047655
iq:fft,relation_zdist,Tx1,0.97,5.482439419300427,100,4,96,0.04,0.9514153689296576,2.4718163582568895
